Name,City,State,ZIP,Phone,Address,Website,Latitude,Longitude,Residential Services,All Services
Friendship House,San Francisco,CA,94103,415-865-0964,,http://www.friendshiphousesf.org,37.7673672,-122.4213751,Residential/24-hour residential; Long-term residential,"Substance use treatment; Residential/24-hour residential; Long-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Brief intervention; Cognitive behavioral therapy; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; Telemedicine/telehealth therapy; 12-step facilitation; Private non-profit organization; State Substance use treatment agency; State department of health; Commission on Accreditation of Rehabilitation Facilities (CARF); Federal, or any government funding for substance use treatment programs; IHS/Tribal/Urban (ITU) funds; Medicare; Medicaid; Private health insurance; Cash or self-payment; Young adults; Adult women; Adult men; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive mental health assessment; Comprehensive substance use assessment; Outreach to persons in the community; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; HIV testing; Testing for Hepatitis C (HCV); Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Young Adults; Adults; Female; Male; American Indian or Alaska Native languages; Vaping not permitted; Case management service; Domestic violence services, including family or partner; Early intervention for HIV; Mental health services; Social skills development; Transportation assistance; Integrated primary care services; Suicide prevention services"
Salvation Army,San Francisco,CA,94103,415-503-3000,,https://sanfranciscoharborlight.salvationarmy.org/san_francisco_harbor_light,37.7726028,-122.4097104,Residential/24-hour residential; Residential detoxification; Long-term residential,"Substance use treatment; Detoxification; Transitional housing, halfway house, or sober home; Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children; Residential/24-hour residential; Residential detoxification; Long-term residential; Naltrexone used in Treatment; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Maintenance service with medically supervised withdrawal after stabilization; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; 12-step facilitation; Private non-profit organization; State Substance use treatment agency; Federal, or any government funding for substance use treatment programs; No payment accepted; Payment assistance (check with facility for details); Young adults; Adult women; Adult men; Seniors or older adults; Veterans; Active duty military; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Outreach to persons in the community; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; TB screening; Discharge Planning; Naloxone and overdose education; Self-help groups; Assistance with obtaining social services; Mentoring/peer support; Treatment for other addiction disorder; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; Medication routinely used during detoxification; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Spanish; Sign language services for the deaf and hard of hearing; Other languages (excluding Spanish); Any Chinese Language; Tagalog; Vaping not permitted; Case management service; Transportation assistance; Integrated primary care services"
HealthRIGHT 360,San Francisco,CA,94117,415-701-5100,,http://www.healthright360.org,37.7760376,-122.43096,Residential/24-hour residential; Long-term residential,"Substance use treatment; Residential/24-hour residential; Long-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Buprenorphine maintenance; Relapse prevention with naltrexone; Accepts clients using MAT but prescribed elsewhere; Buprenorphine with naloxone; Naltrexone (oral); Non-nicotine smoking/tobacco cessation; Anger management; Cognitive behavioral therapy; Contingency management/motivational incentives; Community reinforcement plus vouchers; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; 12-step facilitation; Private non-profit organization; Commission on Accreditation of Rehabilitation Facilities (CARF); Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Adult men; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; TB screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Young Adults; Adults; Male; Other languages (excluding Spanish); Farsi; Italian; Vaping permitted in designated area; Case management service; Mental health services; Social skills development; Transportation assistance; Integrated primary care services"
Ohlhoff Recovery Programs,San Francisco,CA,94117,415-621-4388 x210,,http://www.ohlhoff.org,37.7748675,-122.4330549,Residential/24-hour residential; Residential detoxification; Short-term residential,"Substance use treatment; Detoxification; Transitional housing, halfway house, or sober home; Residential/24-hour residential; Residential detoxification; Short-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; Other contracted prescribing entity; No formal relationship with prescribing entity; This facility administers/prescribes medication for alcohol use disorder; Other contracted prescribing entity; Buprenorphine detoxification; Buprenorphine maintenance; Prescribes naltrexone; Relapse prevention with naltrexone; Accepts clients using MAT but prescribed elsewhere; Lofexidine or Clonidine detoxification; Maintenance service with medically supervised withdrawal after stabilization; Acamprosate (Campral®); Disulfiram; Buprenorphine sub-dermal implant; Buprenorphine with naloxone; Buprenorphine without naloxone; Buprenorphine (extended-release, injectable); Naltrexone (oral); Naltrexone (extended-release, injectable); Medications for HIV treatment; Clonidine; Medication for mental disorders; Nicotine replacement; Non-nicotine smoking/tobacco cessation; Anger management; Brief intervention; Cognitive behavioral therapy; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; 12-step facilitation; Private non-profit organization; State Substance use treatment agency; State department of health; Private health insurance; Cash or self-payment; Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Mentoring/peer support; Treatment for other addiction disorder; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; Medication routinely used during detoxification; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping permitted in designated area; Case management service; Domestic violence services, including family or partner; Early intervention for HIV; Mental health services; Social skills development; Transportation assistance; Suicide prevention services"
Ohlhoff Recovery Programs,San Francisco,CA,94117,415-621-4388 x227,,http://www.ohlhoff.org,37.7748675,-122.4330549,Residential/24-hour residential; Long-term residential,"Substance use treatment; Transitional housing, halfway house, or sober home; Residential/24-hour residential; Long-term residential; Naltrexone used in Treatment; Other contracted prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; This facility administers/prescribes medication for alcohol use disorder; Other contracted prescribing entity; Prescribes naltrexone; Accepts clients using MAT but prescribed elsewhere; Disulfiram; Naltrexone (oral); Naltrexone (extended-release, injectable); Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; 12-step facilitation; Private non-profit organization; State Substance use treatment agency; Private health insurance; Cash or self-payment; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Self-help groups; Housing services; Mentoring/peer support; Employment counseling or training; Treatment for gambling disorder; Substance use disorder education; Individual counseling; Group counseling; Family counseling; Smoking permitted in designated area; Young Adults; Adults; Male; Vaping permitted in designated area; Social skills development"
Latino Commission on Alc/DA Services,San Francisco,CA,94110,415-558-9125,,http://www.thelatinocommission.org,37.7650337,-122.4107452,Residential/24-hour residential; Long-term residential; Short-term residential,"Substance use treatment; Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children; Residential/24-hour residential; Long-term residential; Short-term residential; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; Private non-profit organization; State Substance use treatment agency; Federally Qualified Health Center; Federal, or any government funding for substance use treatment programs; IHS/Tribal/Urban (ITU) funds; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants; Young adults; Adult women; Pregnant/postpartum women; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Mentoring/peer support; Treatment for other addiction disorder; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Smoking permitted in designated area; Young Adults; Adults; Seniors; Female; Spanish; Vaping permitted in designated area; Residential beds for clients' children; Case management service; Domestic violence services, including family or partner; Early intervention for HIV; Mental health services; Social skills development; Transportation assistance; Suicide prevention services"
Epiphany Residential,San Francisco,CA,94118,415-567-8370,,http://www.theepiphanycenter.org,37.7806615,-122.4471219,Residential/24-hour residential; Long-term residential; Short-term residential,"Substance use treatment; Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children; Residential/24-hour residential; Long-term residential; Short-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; This facility administers/prescribes medication for alcohol use disorder; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Buprenorphine maintenance; Relapse prevention with naltrexone; Accepts clients using MAT but prescribed elsewhere; Buprenorphine with naloxone; Buprenorphine without naloxone; Naltrexone (oral); Naltrexone (extended-release, injectable); Medication for mental disorders; Nicotine replacement; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Community reinforcement plus vouchers; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; 12-step facilitation; Private non-profit organization; State Substance use treatment agency; State department of health; Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; State-financed health insurance plan other than Medicaid; Sliding fee scale (fee is based on income and other factors); Adult women; Pregnant/postpartum women; Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma; Comprehensive mental health assessment; Comprehensive substance use assessment; Outreach to persons in the community; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; TB screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Young Adults; Adults; Female; Sign language services for the deaf and hard of hearing; Vaping not permitted; Acupuncture; Residential beds for clients' children; Case management service; Child care for clients' children; Domestic violence services, including family or partner; Early intervention for HIV; Mental health services; Social skills development; Transportation assistance; Integrated primary care services; Suicide prevention services"
HealthRIGHT 360,San Francisco,CA,94110,415-748-7270,,http://www.healthright360.org,37.7496,-122.4153,Residential/24-hour residential; Long-term residential,"Substance use treatment; Residential/24-hour residential; Long-term residential; Naltrexone used in Treatment; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Naltrexone (oral); Non-nicotine smoking/tobacco cessation; Anger management; Cognitive behavioral therapy; Contingency management/motivational incentives; Community reinforcement plus vouchers; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; 12-step facilitation; Private non-profit organization; Commission on Accreditation of Rehabilitation Facilities (CARF); Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Adult women; Pregnant/postpartum women; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; HIV or AIDS education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Adults; Seniors; Female; Vaping permitted in designated area; Residential beds for clients' children; Case management service; Child care for clients' children; Domestic violence services, including family or partner; Mental health services; Social skills development; Transportation assistance"
Latino Commission on Alc/DA Services,San Francisco,CA,94112,415-337-4065,,http://www.thelatinocommission.org,37.7090723,-122.445985,Residential/24-hour residential; Long-term residential; Short-term residential,"Substance use treatment; Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children; Residential/24-hour residential; Long-term residential; Short-term residential; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; Private non-profit organization; State Substance use treatment agency; Federally Qualified Health Center; Federal, or any government funding for substance use treatment programs; IHS/Tribal/Urban (ITU) funds; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants; Young adults; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Mentoring/peer support; Treatment for other addiction disorder; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Smoking permitted in designated area; Young Adults; Adults; Male; Spanish; Vaping permitted in designated area; Case management service; Domestic violence services, including family or partner; Early intervention for HIV; Mental health services; Social skills development; Transportation assistance; Suicide prevention services"
Alta Mira Recovery Center LLC,Sausalito,CA,94965,877-798-2377,,http://www.altamirarecovery.com,37.855839,-122.4817064,Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential,"Substance use treatment; Detoxification; Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children; Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; No formal relationship with prescribing entity; This facility administers/prescribes medication for alcohol use disorder; Other contracted prescribing entity; Buprenorphine detoxification; Buprenorphine maintenance; Prescribes buprenorphine; Prescribes naltrexone; Relapse prevention with naltrexone; Accepts clients using MAT but prescribed elsewhere; Lofexidine or Clonidine detoxification; Maintenance service with medically supervised withdrawal after stabilization; Acamprosate (Campral®); Disulfiram; Buprenorphine sub-dermal implant; Buprenorphine with naloxone; Buprenorphine without naloxone; Buprenorphine (extended-release, injectable); Naltrexone (oral); Naltrexone (extended-release, injectable); Clonidine; Medication for mental disorders; Nicotine replacement; Non-nicotine smoking/tobacco cessation; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; 12-step facilitation; Private for-profit organization; State Substance use treatment agency; State department of health; The Joint Commission; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; Young adults; Adult women; Adult men; Seniors or older adults; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients who have experienced trauma; Comprehensive mental health assessment; Comprehensive substance use assessment; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; TB screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Mentoring/peer support; Treatment for gambling disorder; Treatment for other addiction disorder; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; Medication routinely used during detoxification; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping permitted in designated area; Acupuncture; Case management service; Mental health services; Social skills development; Integrated primary care services; Suicide prevention services"
